Date,AC Penrose NO_MCG 24h average [痢/m設,AC Penrose NO2_MCG 24h average [痢/m設,AC Penrose NOX_MCG 24h average [痢/m設,AC Penrose PM10 24h average [痢/m設,AC Penrose PM2.5 24h average [痢/m設,AC Penrose RH 24h average [%],AC Penrose TEMP 24h average [蚓],AC Penrose WSP 24h average [m/s]
16/06/2014,,,,13.481,4.213,88.162,13.33,2.192
17/06/2014,,,,10.356,4.744,89.169,14.43,2.435
18/06/2014,,,,11.905,5.579,79.024,12.7,2.233
19/06/2014,,,,13.145,5.504,76.98,11.84,2.633
20/06/2014,,,,23.098,9.175,67.521,12.47,3.226
21/06/2014,,,,14.75,6.69,80.827,11.96,1.902
22/06/2014,,,,17.16,8,86.8,12.75,1.66
23/06/2014,,,,22.315,12.286,89.575,11.35,0.826
24/06/2014,,,,8.752,3.943,80.262,13.62,2.221
25/06/2014,,,,11.409,3.255,90.402,14.59,3.404
26/06/2014,,,,10.129,4.456,91.854,14.84,1.725
27/06/2014,,,,13.384,5.217,86.636,11.74,2.098
28/06/2014,,,,23.97,7.269,69.566,12.83,4.402
29/06/2014,,,,23.932,10.439,74.576,11.41,0.826
30/06/2014,,,,11.749,4.373,90.139,13.76,2.666
1/07/2014,,,,11.279,6.048,88.901,11.68,1.606
2/07/2014,,,,12.663,4.799,74.29,9.55,3.274
3/07/2014,,,,18.807,10.127,74.832,8.82,2.347
4/07/2014,,,,17.925,8.632,78.648,9.31,2.443
5/07/2014,,,,19.19,8.179,73.31,13.6,4.32
6/07/2014,,,,19.472,7.566,76.978,11.72,0.938
7/07/2014,,,,11.468,4.717,82.403,12.02,2.826
8/07/2014,,,,19.705,5.179,73.539,12.22,4.723
9/07/2014,,,,,5.777,79.239,12.89,5.467
10/07/2014,,,,20.281,6.984,78.289,13.81,4.954
11/07/2014,,,,17.004,4.876,74.522,13.68,4.612
12/07/2014,,,,17.413,4.303,93.078,12.07,2.249
13/07/2014,,,,15.65,9.376,94.22,10.98,0.771
14/07/2014,,,,22.535,15.189,96.805,8.47,1.085
15/07/2014,,,,19.855,10.217,82.003,9.49,2.054
16/07/2014,,,,21.982,13.007,68.161,8.11,1.615
17/07/2014,,,,20.47,9.788,70.166,7.9,2.037
18/07/2014,,,,24.075,18.785,76.839,6.15,1.378
19/07/2014,,,,23.91,14.865,85.25,6.92,1.37
20/07/2014,,,,7.963,3.785,80.943,10.45,3.559
21/07/2014,,,,16.228,5.433,80.134,9.41,3.938
22/07/2014,,,,20.114,14.39,70.842,6.55,2.039
23/07/2014,,,,22.804,8.784,65.472,9.83,2.484
24/07/2014,,,,19.426,9.759,83.223,9.04,1.311
25/07/2014,,,,16.572,5.868,78.966,10.9,3.812
26/07/2014,,,,18.587,6.628,77.006,10.1,1.927
27/07/2014,,,,14.34,7.876,77.608,10.01,1.809
28/07/2014,,,,25.687,16.638,77.897,7.62,0.76
29/07/2014,,,,11.824,5.64,83.123,10.46,1.439
30/07/2014,,,,7.891,4.137,86.498,12.9,1.641
31/07/2014,,,,10.894,6.183,86.636,12.97,1.367
1/08/2014,,,,9.16,4.707,95.052,12.42,1.528
2/08/2014,,,,15.287,4.854,90.678,15.11,3.249
3/08/2014,,,,14.763,6.23,91.912,12.6,2.028
4/08/2014,,,,18.578,8.011,80.068,9.57,1.434
5/08/2014,,,,14.419,4.948,73.296,11.35,4.27
6/08/2014,,,,20.746,6.101,70.074,11.7,3.561
7/08/2014,,,,20.5,5.652,68.546,11.71,2.514
8/08/2014,,,,17.758,6.689,74.015,11.18,3.635
9/08/2014,,,,20.132,13.298,62.92,7.88,2.104
10/08/2014,,,,19.516,8.269,73.799,8.71,1.601
11/08/2014,,,,10.79,4.49,76.061,10.77,2.082
12/08/2014,,,,10.467,4.407,77.662,10.92,2.674
13/08/2014,,,,16.598,4.46,72.698,9.53,2.974
14/08/2014,,,,17.969,6.433,71.432,10.04,5.179
15/08/2014,,,,,,,,
16/08/2014,,,,29.115,9.022,76.886,12.01,3.313
17/08/2014,,,,21.283,8.205,75.955,11.78,0.998
18/08/2014,,,,20.465,10.867,71.82,11.74,1.041
19/08/2014,,,,14.199,4.693,88.754,11.61,3.047
20/08/2014,,,,14.002,4.604,95.351,12.75,1.347
21/08/2014,,,,16.291,6.481,76.185,12.23,3.849
22/08/2014,,,,17.17,6.696,56.948,8.44,2.719
23/08/2014,,,,24.914,7.099,70.518,10.54,2.567
24/08/2014,,,,12.757,7.658,75.435,10.04,1.472
25/08/2014,,,,16.966,8.457,77.188,9.6,0.868
26/08/2014,,,,9.75,5.838,71.055,10.31,1.149
27/08/2014,,,,17.052,7.408,74.722,10.2,1.351
28/08/2014,,,,14.814,3.693,69.605,11.54,2.218
29/08/2014,,,,17.501,3.446,67.206,12.35,2.912
30/08/2014,,,,8.721,2.494,83.787,11.45,3.278
31/08/2014,,,,9.464,2.559,85.765,11.12,2.732
1/09/2014,,,,9.252,4.646,95.974,9.69,3.421
2/09/2014,,,,15.086,4.203,77.892,13.39,3.229
3/09/2014,,,,12.573,5.625,85.294,12.88,0.955
4/09/2014,,,,14.562,3.334,88.17,12.89,2.353
5/09/2014,,,,,6.074,90.655,13.67,2.045
6/09/2014,,,,5.899,3.344,84.043,13.9,1.85
7/09/2014,,,,8.769,3.164,70.766,13.39,2.437
8/09/2014,,,,22.455,7.114,73.048,12.19,2.885
9/09/2014,,,,20.104,8.608,78.957,11.73,1.417
10/09/2014,,,,10.939,4.558,74.451,12.8,2.1
11/09/2014,,,,16.194,2.617,80.891,12.52,1.542
12/09/2014,,,,11.091,2.985,94.536,13.73,3.158
13/09/2014,,,,12.013,3.881,92.635,14.09,1.981
14/09/2014,,,,24.462,6.547,78.26,12.66,6.089
15/09/2014,,,,15.547,4.898,74.067,12.44,2.293
16/09/2014,,,,10.837,4.569,79.426,12.83,2.691
17/09/2014,,,,15.793,5.752,69.599,12.13,2.582
18/09/2014,,,,17.629,4.769,89.835,11.94,1.491
19/09/2014,,,,13.738,6.487,78.995,13.62,2.546
20/09/2014,,,,17.419,5.12,77.946,10.99,2.874
21/09/2014,,,,11.465,3.927,80.651,9.77,2.77
22/09/2014,,,,19.714,6.27,66.109,11.07,5.329
23/09/2014,,,,20.831,7.924,68.063,10.79,3.898
24/09/2014,,,,29.899,13.129,75.864,13.59,5.04
25/09/2014,,,,26.658,9.51,72.385,12.89,3.538
26/09/2014,,,,17.042,5.508,62.546,13.27,2.123
27/09/2014,,,,12.019,5.713,78.237,13.18,1.768
28/09/2014,,,,9.527,3.673,83.339,14.78,3.037
